episode_index,npz_name,gap_category,teacher_close_step,teacher_close_before_near_current,open_loop_success,open_loop_ever_attached,open_loop_failure_stage,open_loop_min_handle_distance_m,open_loop_first_near_handle_step,open_loop_attach_step,open_loop_max_drawer_fraction,oracle_success,oracle_ever_attached,oracle_failure_stage,oracle_min_handle_distance_m,oracle_first_near_handle_step,oracle_attach_step,oracle_max_drawer_fraction
3,seed_007_branch2_phase_scaled_ep3.npz,pre_handle_replay_gap,44,True,False,False,never_near_handle,0.056033771485090256,,,1.0,True,True,success,0.028346208855509758,50,50,0.9569666981697083
25,seed_008_branch2_phase_scaled_ep0.npz,pre_handle_replay_gap,38,True,False,False,never_near_handle,0.06251408159732819,,,0.18001799285411835,True,True,success,0.02037256769835949,40,36,1.0
138,seed_012_branch2_phase_scaled_ep4.npz,teacher_success,34,True,True,True,success,0.07838362455368042,,51,1.0,True,True,success,0.03794969990849495,25,34,1.0
157,seed_013_branch2_phase_scaled_ep0.npz,pre_handle_replay_gap,41,True,False,False,never_near_handle,0.14601057767868042,,,1.0,True,True,success,0.054054148495197296,,50,0.9816228151321411
158,seed_013_branch2_phase_scaled_ep2.npz,post_attach_execution_gap,42,True,False,True,pull_no_open,0.03839823231101036,92,77,1.0,True,True,success,0.06582340598106384,,35,1.0
180,seed_014_branch2_phase_scaled_ep1.npz,handle_semantics_or_grasp_gap,42,True,False,False,near_handle_no_attach,0.048888444900512695,126,,1.0,True,True,success,0.03213369846343994,31,34,0.9712115526199341
181,seed_014_branch2_phase_scaled_ep3.npz,handle_semantics_or_grasp_gap,40,True,False,False,near_handle_no_attach,0.0496491938829422,141,,0.27451470494270325,True,True,success,0.054635509848594666,,36,0.9438735246658325
182,seed_014_branch2_phase_scaled_ep4.npz,handle_semantics_or_grasp_gap,43,True,False,False,near_handle_no_attach,0.024997709318995476,155,,1.0,True,True,success,0.06317813694477081,,51,0.9742679595947266
205,seed_015_branch2_phase_scaled_ep0.npz,pre_handle_replay_gap,42,True,False,False,never_near_handle,0.06718415021896362,,,0.4090992510318756,True,True,success,0.04944921284914017,77,46,1.0
209,seed_015_branch2_phase_scaled_ep4.npz,post_attach_execution_gap,35,True,False,True,attached_no_pull,0.04179937392473221,57,54,0.12162546068429947,True,True,success,0.014617711305618286,35,35,0.9974148273468018
