episode_index,npz_name,mode,success,ever_attached,failure_stage,min_handle_distance_m,first_near_handle_step,attach_step,max_drawer_fraction
3,seed_007_branch2_phase_scaled_ep3.npz,open_loop,False,False,never_near_handle,0.056033771485090256,,,1.0
3,seed_007_branch2_phase_scaled_ep3.npz,seeded_initial_physical_pose,False,False,near_handle_no_attach,0.03296036645770073,135,,1.0
3,seed_007_branch2_phase_scaled_ep3.npz,seeded_initial_physical_and_command,False,False,never_near_handle,0.11914117634296417,,,1.0
25,seed_008_branch2_phase_scaled_ep0.npz,open_loop,False,False,never_near_handle,0.06251408159732819,,,0.18001799285411835
25,seed_008_branch2_phase_scaled_ep0.npz,seeded_initial_physical_pose,False,False,never_near_handle,0.1035202145576477,,,0.003065315308049321
25,seed_008_branch2_phase_scaled_ep0.npz,seeded_initial_physical_and_command,False,False,never_near_handle,0.09839598089456558,,,0.0
138,seed_012_branch2_phase_scaled_ep4.npz,open_loop,True,True,success,0.07838362455368042,,51,1.0
138,seed_012_branch2_phase_scaled_ep4.npz,seeded_initial_physical_pose,True,True,success,0.07392700761556625,,41,1.0
138,seed_012_branch2_phase_scaled_ep4.npz,seeded_initial_physical_and_command,False,False,never_near_handle,0.07668112963438034,,,1.0
157,seed_013_branch2_phase_scaled_ep0.npz,open_loop,False,False,never_near_handle,0.14601057767868042,,,1.0
157,seed_013_branch2_phase_scaled_ep0.npz,seeded_initial_physical_pose,False,False,never_near_handle,0.0623466856777668,,,0.4140264689922333
157,seed_013_branch2_phase_scaled_ep0.npz,seeded_initial_physical_and_command,False,False,near_handle_no_attach,0.041616059839725494,97,,1.0
158,seed_013_branch2_phase_scaled_ep2.npz,open_loop,False,True,pull_no_open,0.03839823231101036,92,77,1.0
158,seed_013_branch2_phase_scaled_ep2.npz,seeded_initial_physical_pose,False,True,never_near_handle,0.06913939863443375,,59,1.0
158,seed_013_branch2_phase_scaled_ep2.npz,seeded_initial_physical_and_command,True,True,success,0.062255021184682846,,56,1.0
180,seed_014_branch2_phase_scaled_ep1.npz,open_loop,False,False,near_handle_no_attach,0.048888444900512695,126,,1.0
180,seed_014_branch2_phase_scaled_ep1.npz,seeded_initial_physical_pose,False,False,near_handle_no_attach,0.027631111443042755,65,,1.0
180,seed_014_branch2_phase_scaled_ep1.npz,seeded_initial_physical_and_command,False,False,never_near_handle,0.06131497398018837,,,1.0
181,seed_014_branch2_phase_scaled_ep3.npz,open_loop,False,False,near_handle_no_attach,0.0496491938829422,141,,0.27451470494270325
181,seed_014_branch2_phase_scaled_ep3.npz,seeded_initial_physical_pose,False,True,pull_no_open,0.03283868357539177,139,64,1.0
181,seed_014_branch2_phase_scaled_ep3.npz,seeded_initial_physical_and_command,False,False,near_handle_no_attach,0.017463110387325287,66,,1.0
182,seed_014_branch2_phase_scaled_ep4.npz,open_loop,False,False,near_handle_no_attach,0.024997709318995476,155,,1.0
182,seed_014_branch2_phase_scaled_ep4.npz,seeded_initial_physical_pose,False,True,pull_no_open,0.03653866797685623,64,95,1.0
182,seed_014_branch2_phase_scaled_ep4.npz,seeded_initial_physical_and_command,False,False,never_near_handle,0.06503496319055557,,,1.0
205,seed_015_branch2_phase_scaled_ep0.npz,open_loop,False,False,never_near_handle,0.06718415021896362,,,0.4090992510318756
205,seed_015_branch2_phase_scaled_ep0.npz,seeded_initial_physical_pose,False,True,attached_no_pull,0.04199221357703209,79,79,0.043160129338502884
205,seed_015_branch2_phase_scaled_ep0.npz,seeded_initial_physical_and_command,True,True,success,0.04499613121151924,71,71,0.9376865029335022
209,seed_015_branch2_phase_scaled_ep4.npz,open_loop,False,True,attached_no_pull,0.04179937392473221,57,54,0.12162546068429947
209,seed_015_branch2_phase_scaled_ep4.npz,seeded_initial_physical_pose,True,True,success,0.04246972128748894,34,45,0.9827313423156738
209,seed_015_branch2_phase_scaled_ep4.npz,seeded_initial_physical_and_command,True,True,success,0.03666592761874199,34,35,1.0
