episode_index,npz_name,baseline_success,baseline_ever_attached,baseline_failure_stage,baseline_first_near_handle_step,baseline_attach_step,baseline_min_handle_distance_m,baseline_max_drawer_fraction,retarget_success,retarget_ever_attached,retarget_failure_stage,retarget_first_near_handle_step,retarget_attach_step,retarget_min_handle_distance_m,retarget_max_drawer_fraction,source_reference_step,source_reference_min_handle_distance_m,applied_offset_norm_m,retarget_active_steps,first_retarget_near_handle_step,first_retarget_disabled_step,success_rescued,attach_rescued
3,seed_007_branch2_phase_scaled_ep3.npz,False,False,never_near_handle,,,0.056033771485090256,1.0,False,False,never_near_handle,,,0.05113997682929039,0.2244315892457962,65,0.0316646583378315,0.16927562654018402,36,36,36,False,False
25,seed_008_branch2_phase_scaled_ep0.npz,False,False,never_near_handle,,,0.06251408159732819,0.18001799285411835,False,False,never_near_handle,,,0.057375308126211166,0.8475325703620911,31,0.0543111152946949,0.12983983755111694,28,28,28,False,False
138,seed_012_branch2_phase_scaled_ep4.npz,True,True,success,,51,0.07838362455368042,1.0,False,False,never_near_handle,,,0.06339829415082932,1.0,69,0.02330775558948517,0.10782326012849808,200,,,False,False
157,seed_013_branch2_phase_scaled_ep0.npz,False,False,never_near_handle,,,0.14601057767868042,1.0,False,True,pull_no_open,51,42,0.0409499928355217,1.0,42,0.03215006738901138,0.20579902827739716,52,52,52,False,True
158,seed_013_branch2_phase_scaled_ep2.npz,False,True,pull_no_open,92,77,0.03839823231101036,1.0,False,True,pull_no_open,58,59,0.03786413371562958,1.0,73,0.047528497874736786,0.14417727291584015,19,19,19,False,False
180,seed_014_branch2_phase_scaled_ep1.npz,False,False,near_handle_no_attach,126,,0.048888444900512695,1.0,False,False,never_near_handle,,,0.07182762771844864,1.0,60,0.04059518873691559,0.14899970591068268,11,11,11,False,False
181,seed_014_branch2_phase_scaled_ep3.npz,False,False,near_handle_no_attach,141,,0.0496491938829422,0.27451470494270325,False,False,never_near_handle,,,0.1085871234536171,0.7688120603561401,75,0.024236982688307762,0.4366353154182434,200,,,False,False
182,seed_014_branch2_phase_scaled_ep4.npz,False,False,near_handle_no_attach,155,,0.024997709318995476,1.0,False,False,never_near_handle,,,0.13462433218955994,0.32314345240592957,83,0.051185157150030136,0.1288621872663498,200,,,False,False
205,seed_015_branch2_phase_scaled_ep0.npz,False,False,never_near_handle,,,0.06718415021896362,0.4090992510318756,False,True,pull_no_open,76,70,0.01373766828328371,1.0,54,0.055948927998542786,0.08778928965330124,77,77,77,False,True
209,seed_015_branch2_phase_scaled_ep4.npz,False,True,attached_no_pull,57,54,0.04179937392473221,0.12162546068429947,False,True,pull_no_open,38,54,0.03815772384405136,1.0,54,0.026921885088086128,0.18824511766433716,200,,,False,False
