episode_index,npz_name,baseline_success,baseline_attach,baseline_failure_stage,baseline_min_handle_distance_m,seeded_initial_physical_pose_success,seeded_initial_physical_pose_attach,seeded_initial_physical_pose_failure_stage,seeded_initial_physical_pose_min_handle_distance_m,seeded_initial_physical_and_command_success,seeded_initial_physical_and_command_attach,seeded_initial_physical_and_command_failure_stage,seeded_initial_physical_and_command_min_handle_distance_m,retarget_first_20_steps_success,retarget_first_20_steps_attach,retarget_first_20_steps_failure_stage,retarget_first_20_steps_min_handle_distance_m,retarget_first_20_steps_retarget_active_steps,retarget_until_source_reference_step_success,retarget_until_source_reference_step_attach,retarget_until_source_reference_step_failure_stage,retarget_until_source_reference_step_min_handle_distance_m,retarget_until_source_reference_step_retarget_active_steps,retarget_until_near_handle_success,retarget_until_near_handle_attach,retarget_until_near_handle_failure_stage,retarget_until_near_handle_min_handle_distance_m,retarget_until_near_handle_retarget_active_steps
157,seed_013_branch2_phase_scaled_ep0.npz,False,False,never_near_handle,0.14601057767868042,False,False,never_near_handle,0.0623466856777668,False,False,near_handle_no_attach,0.041616059839725494,True,True,success,0.027054153382778168,20,False,True,pull_no_open,0.028858700767159462,43,False,True,pull_no_open,0.0409499928355217,52
205,seed_015_branch2_phase_scaled_ep0.npz,False,False,never_near_handle,0.06718415021896362,False,True,attached_no_pull,0.04199221357703209,True,True,success,0.04499613121151924,False,True,pull_no_open,0.011590845882892609,20,False,False,never_near_handle,0.06497299671173096,55,False,True,pull_no_open,0.01373766828328371,77
25,seed_008_branch2_phase_scaled_ep0.npz,False,False,never_near_handle,0.06251408159732819,False,False,never_near_handle,0.1035202145576477,False,False,never_near_handle,0.09839598089456558,False,False,never_near_handle,0.057375308126211166,20,False,False,near_handle_no_attach,0.02542952448129654,32,False,False,never_near_handle,0.057375308126211166,28
180,seed_014_branch2_phase_scaled_ep1.npz,False,False,near_handle_no_attach,0.048888444900512695,False,False,near_handle_no_attach,0.027631111443042755,False,False,never_near_handle,0.06131497398018837,False,True,pull_no_open,0.016768213361501694,20,False,False,never_near_handle,0.07182762771844864,61,False,False,never_near_handle,0.07182762771844864,11
3,seed_007_branch2_phase_scaled_ep3.npz,False,False,never_near_handle,0.056033771485090256,False,False,near_handle_no_attach,0.03296036645770073,False,False,never_near_handle,0.11914117634296417,False,False,near_handle_no_attach,0.032957933843135834,20,True,True,success,0.05540071800351143,54,False,False,never_near_handle,0.05113997682929039,36
181,seed_014_branch2_phase_scaled_ep3.npz,False,False,near_handle_no_attach,0.0496491938829422,False,True,pull_no_open,0.03283868357539177,False,False,near_handle_no_attach,0.017463110387325287,False,False,never_near_handle,0.1501198410987854,20,False,False,never_near_handle,0.08643364906311035,76,False,False,never_near_handle,0.1085871234536171,200
158,seed_013_branch2_phase_scaled_ep2.npz,False,True,pull_no_open,0.03839823231101036,False,True,never_near_handle,0.06913939863443375,True,True,success,0.062255021184682846,False,True,pull_no_open,0.047952692955732346,20,False,True,pull_no_open,0.03293777257204056,74,False,True,pull_no_open,0.03786413371562958,19
182,seed_014_branch2_phase_scaled_ep4.npz,False,False,near_handle_no_attach,0.024997709318995476,False,True,pull_no_open,0.03653866797685623,False,False,never_near_handle,0.06503496319055557,False,False,never_near_handle,0.05114687234163284,20,False,False,never_near_handle,0.13462433218955994,84,False,False,never_near_handle,0.13462433218955994,200
138,seed_012_branch2_phase_scaled_ep4.npz,True,True,success,0.07838362455368042,True,True,success,0.07392700761556625,False,False,never_near_handle,0.07668112963438034,False,False,never_near_handle,0.13871942460536957,20,False,False,never_near_handle,0.06339829415082932,70,False,False,never_near_handle,0.06339829415082932,200
209,seed_015_branch2_phase_scaled_ep4.npz,False,True,attached_no_pull,0.04179937392473221,True,True,success,0.04246972128748894,True,True,success,0.03666592761874199,False,False,never_near_handle,0.0700567290186882,20,False,True,pull_no_open,0.02029382809996605,55,False,True,pull_no_open,0.03815772384405136,200
