episode_index,npz_name,seed,source_success,source_ever_attached,source_final_drawer,source_max_drawer,replay_mode,success,ever_attached,attach_step,first_near_handle_step,first_major_open_step,final_drawer_fraction,max_drawer_fraction,mean_position_error_m,p95_position_error_m,max_position_error_m,mean_handle_distance_m,handle_distance_vs_source_error,failure_stage,attach_threshold_m,min_handle_distance_m,n_recorded_steps
157,seed_013_branch2_phase_scaled_ep0.npz,13,True,True,0.9232431650161743,0.9232431650161743,open_loop,False,False,,,7,1.0,1.0,0.202190563082695,0.42213599383831024,0.5710945725440979,0.393515944480896,0.2055443525314331,never_near_handle,0.05,0.14601057767868042,200
157,seed_013_branch2_phase_scaled_ep0.npz,13,True,True,0.9232431650161743,0.9232431650161743,state_anchored,True,True,42,,40,0.9232431650161743,0.9232431650161743,0.1149146631360054,0.3505622148513794,0.6960154175758362,0.2803495526313782,0.14607734978199005,success,0.05,0.06974688172340393,71
157,seed_013_branch2_phase_scaled_ep0.npz,13,True,True,0.9232431650161743,0.9232431650161743,oracle_reachability,True,True,50,,19,0.0005348655977286398,0.9816228151321411,0.2478775978088379,0.5047380328178406,0.6880200505256653,0.17753306031227112,0.11605484038591385,success,0.05,0.054054148495197296,75
205,seed_015_branch2_phase_scaled_ep0.npz,15,True,True,1.0,1.0,open_loop,False,False,,,7,0.0,0.4090992510318756,0.13278190791606903,0.5160566985607149,0.6660860776901245,0.15529756247997284,0.07622195780277252,never_near_handle,0.05,0.06718415021896362,200
205,seed_015_branch2_phase_scaled_ep0.npz,15,True,True,1.0,1.0,state_anchored,True,True,43,59,45,1.0,1.0,0.09421198070049286,0.2785009935498238,0.8499904274940491,0.20954018831253052,0.06519167125225067,success,0.05,0.03504561632871628,82
205,seed_015_branch2_phase_scaled_ep0.npz,15,True,True,1.0,1.0,oracle_reachability,True,True,46,77,8,0.2129819691181183,1.0,0.1822723001241684,0.5059696912765501,0.643945574760437,0.17711564898490906,0.10140249878168106,success,0.05,0.04944921284914017,79
25,seed_008_branch2_phase_scaled_ep0.npz,8,True,True,0.05803622677922249,1.0,open_loop,False,False,,,,0.00031124273664318025,0.18001799285411835,0.09386231750249863,0.2565888710319994,0.5228617787361145,0.20201587677001953,0.05903448909521103,never_near_handle,0.05,0.06251408159732819,200
25,seed_008_branch2_phase_scaled_ep0.npz,8,True,True,0.05803622677922249,1.0,state_anchored,False,True,39,,19,0.0,1.0,0.08650138229131699,0.27418218106031417,0.505997359752655,0.21484681963920593,0.07308738678693771,never_near_handle,0.05,0.09275467693805695,200
25,seed_008_branch2_phase_scaled_ep0.npz,8,True,True,0.05803622677922249,1.0,oracle_reachability,True,True,36,40,37,1.0,1.0,0.11931492388248444,0.2840300142765045,0.35149672627449036,0.16164788603782654,0.04816298559308052,success,0.05,0.02037256769835949,43
180,seed_014_branch2_phase_scaled_ep1.npz,14,True,True,0.9980657696723938,0.9980657696723938,open_loop,False,False,,126,64,0.9687612652778625,1.0,0.08429848402738571,0.2886809468269348,0.6274324059486389,0.2158241719007492,0.06359723955392838,near_handle_no_attach,0.05,0.048888444900512695,200
180,seed_014_branch2_phase_scaled_ep1.npz,14,True,True,0.9980657696723938,0.9980657696723938,state_anchored,True,True,43,,6,0.9980657696723938,0.9980657696723938,0.053735315799713135,0.2649948582053183,0.32239145040512085,0.17893634736537933,0.055177826434373856,success,0.05,0.11682239174842834,63
180,seed_014_branch2_phase_scaled_ep1.npz,14,True,True,0.9980657696723938,0.9980657696723938,oracle_reachability,True,True,34,31,85,0.9712115526199341,0.9712115526199341,0.22892659902572632,0.3341464906930923,0.3582529127597809,0.14105090498924255,0.04218849167227745,success,0.05,0.03213369846343994,86
3,seed_007_branch2_phase_scaled_ep3.npz,7,True,True,1.0,1.0,open_loop,False,False,,,34,0.0,1.0,0.13643480837345123,0.32547674775123603,0.4355785548686981,0.2799029052257538,0.1995300054550171,never_near_handle,0.05,0.056033771485090256,200
3,seed_007_branch2_phase_scaled_ep3.npz,7,True,True,1.0,1.0,state_anchored,True,True,45,,65,0.9027606844902039,0.9027606844902039,0.08011665940284729,0.2733216658234596,0.3964632451534271,0.23012720048427582,0.10500895977020264,success,0.05,0.12736745178699493,66
3,seed_007_branch2_phase_scaled_ep3.npz,7,True,True,1.0,1.0,oracle_reachability,True,True,50,50,52,0.9059403538703918,0.9569666981697083,0.2860112190246582,0.5492230206727982,0.7548837661743164,0.21080389618873596,0.09874439239501953,success,0.05,0.028346208855509758,56
181,seed_014_branch2_phase_scaled_ep3.npz,14,True,True,0.43190181255340576,1.0,open_loop,False,False,,141,149,0.0,0.27451470494270325,0.18882696330547333,0.5644855052232742,0.9509281516075134,0.1738913357257843,0.12337098270654678,near_handle_no_attach,0.05,0.0496491938829422,200
181,seed_014_branch2_phase_scaled_ep3.npz,14,True,True,0.43190181255340576,1.0,state_anchored,False,True,41,106,15,0.0,1.0,0.10462018847465515,0.2848316952586174,0.617164134979248,0.16796453297138214,0.17163364589214325,pull_no_open,0.05,0.04545513913035393,200
181,seed_014_branch2_phase_scaled_ep3.npz,14,True,True,0.43190181255340576,1.0,oracle_reachability,True,True,36,,7,0.30475765466690063,0.9438735246658325,0.22916288673877716,0.44325356483459444,0.7761778235435486,0.15541104972362518,0.12883374094963074,success,0.05,0.054635509848594666,69
158,seed_013_branch2_phase_scaled_ep2.npz,13,True,True,1.0,1.0,open_loop,False,True,77,92,35,0.0,1.0,0.14945738017559052,0.3773045748472214,0.6062377095222473,0.2841271162033081,0.17244499921798706,pull_no_open,0.05,0.03839823231101036,200
158,seed_013_branch2_phase_scaled_ep2.npz,13,True,True,1.0,1.0,state_anchored,True,True,43,,64,1.0,1.0,0.04680301621556282,0.1695283561944961,0.21906815469264984,0.20325914025306702,0.08586231619119644,success,0.05,0.08170998096466064,67
158,seed_013_branch2_phase_scaled_ep2.npz,13,True,True,1.0,1.0,oracle_reachability,True,True,35,,64,1.0,1.0,0.2835753858089447,0.415599250793457,0.710412859916687,0.17696727812290192,0.06713105738162994,success,0.05,0.06582340598106384,65
182,seed_014_branch2_phase_scaled_ep4.npz,14,True,True,1.0,1.0,open_loop,False,False,,155,40,0.0362698920071125,1.0,0.22934162616729736,0.551109471917152,0.8160440921783447,0.20076647400856018,0.15623508393764496,near_handle_no_attach,0.05,0.024997709318995476,200
182,seed_014_branch2_phase_scaled_ep4.npz,14,True,True,1.0,1.0,state_anchored,False,True,44,,9,0.4108574390411377,1.0,0.16307494044303894,0.6228513479232778,1.0576409101486206,0.2370711863040924,0.1688559502363205,never_near_handle,0.05,0.07404976338148117,200
182,seed_014_branch2_phase_scaled_ep4.npz,14,True,True,1.0,1.0,oracle_reachability,True,True,51,,55,0.9742679595947266,0.9742679595947266,0.24899719655513763,0.4723786950111385,0.6725316047668457,0.19353817403316498,0.10065167397260666,success,0.05,0.06317813694477081,57
138,seed_012_branch2_phase_scaled_ep4.npz,12,True,True,0.9659833312034607,1.0,open_loop,True,True,51,,52,0.2731584310531616,1.0,0.06877537816762924,0.15705933496356003,0.5779348611831665,0.16871345043182373,0.0754416361451149,success,0.05,0.07838362455368042,54
138,seed_012_branch2_phase_scaled_ep4.npz,12,True,True,0.9659833312034607,1.0,state_anchored,False,True,35,,13,0.9975593090057373,1.0,0.15706299245357513,0.5958188772201538,0.766093373298645,0.336137056350708,0.16361501812934875,never_near_handle,0.05,0.08226338773965836,200
138,seed_012_branch2_phase_scaled_ep4.npz,12,True,True,0.9659833312034607,1.0,oracle_reachability,True,True,34,25,10,0.9038873314857483,1.0,0.25315120816230774,0.3578750267624855,0.5239579081535339,0.120921291410923,0.04462461918592453,success,0.05,0.03794969990849495,56
209,seed_015_branch2_phase_scaled_ep4.npz,15,True,True,1.0,1.0,open_loop,False,True,54,57,,0.12162546068429947,0.12162546068429947,0.10691621899604797,0.3644984111189842,0.48389732837677,0.09982085973024368,0.06082519143819809,attached_no_pull,0.05,0.04179937392473221,200
209,seed_015_branch2_phase_scaled_ep4.npz,15,True,True,1.0,1.0,state_anchored,True,True,36,,57,1.0,1.0,0.06826517730951309,0.19019545838236804,0.3418761193752289,0.20181064307689667,0.06447245180606842,success,0.05,0.0682283416390419,58
209,seed_015_branch2_phase_scaled_ep4.npz,15,True,True,1.0,1.0,oracle_reachability,True,True,35,35,41,0.9974148273468018,0.9974148273468018,0.13035517930984497,0.30630157887935633,0.5190985202789307,0.17771701514720917,0.05710136145353317,success,0.05,0.014617711305618286,133
